id,ord_in_trial,start_time,stop_time,trial_id,x,y,image_index,image_path
158,1,121.448125,121.653125,27,3.777760508599477,2.8297193456067533,83.0,Stimuli/7d0325e97f1b760601dd49aaa8458168.png
159,2,121.695125,121.848125,27,9.952170708979459,-0.0508671045069959,83.0,Stimuli/7d0325e97f1b760601dd49aaa8458168.png
160,3,121.892125,122.034125,27,1.5958686545072234,0.25752089222696556,83.0,Stimuli/7d0325e97f1b760601dd49aaa8458168.png
161,4,122.081125,122.557125,27,-0.7870098327874919,9.803517510029948,83.0,Stimuli/7d0325e97f1b760601dd49aaa8458168.png
162,5,122.603125,123.030125,27,6.580389647920745,8.148265405713104,83.0,Stimuli/7d0325e97f1b760601dd49aaa8458168.png
163,0,123.761425,124.083425,28,-1.1532923704424933,1.7818915766225047,477.0,Stimuli/4dccc85388e06e42223aa79c781e72f6.png
164,1,124.12842500000001,124.258425,28,-1.1943859556729741,7.4987594685251455,477.0,Stimuli/4dccc85388e06e42223aa79c781e72f6.png
165,2,124.308425,124.450425,28,-7.662816787117013,2.5725151024551334,477.0,Stimuli/4dccc85388e06e42223aa79c781e72f6.png
166,3,124.493425,124.781425,28,-2.1430188308970375,-1.394100717655267,477.0,Stimuli/4dccc85388e06e42223aa79c781e72f6.png
167,4,124.826425,125.16442500000001,28,-8.721714784552164,2.146654577333855,477.0,Stimuli/4dccc85388e06e42223aa79c781e72f6.png
168,0,126.21155,126.54855,29,-0.6885634638851578,4.37316710631166,616.0,Stimuli/50be47cf12afead84f742cfdf509894e.png
169,1,126.59055000000001,126.79955,29,5.228657450680581,4.887588113941481,616.0,Stimuli/50be47cf12afead84f742cfdf509894e.png
170,2,126.84755,126.97255,29,-1.6105600944196554,-0.6423147938899174,616.0,Stimuli/50be47cf12afead84f742cfdf509894e.png
171,3,127.01755,127.17855,29,-6.290839955090674,5.0525084152128406,616.0,Stimuli/50be47cf12afead84f742cfdf509894e.png
172,4,127.22655,127.43755,29,-2.4797832449966237,-1.0060806988637336,616.0,Stimuli/50be47cf12afead84f742cfdf509894e.png
173,5,127.48455,127.71155,29,4.529921600422427,-5.010123570279474,616.0,Stimuli/50be47cf12afead84f742cfdf509894e.png
174,0,128.657125,128.95112500000002,30,-2.1447778830364936,-0.30131830909780755,493.0,Stimuli/8f1cabdae9b591764a369c95c9320c09.png
175,1,128.994125,129.109125,30,0.3181917702150368,1.792305873234307,493.0,Stimuli/8f1cabdae9b591764a369c95c9320c09.png
176,2,129.145125,129.438125,30,0.6994569627707727,2.9242217108963686,493.0,Stimuli/8f1cabdae9b591764a369c95c9320c09.png
177,3,129.47512500000002,129.632125,30,1.1994560913212717,1.679302756375948,493.0,Stimuli/8f1cabdae9b591764a369c95c9320c09.png
178,4,129.681125,130.02312500000002,30,1.2098982630910624,-4.750632910885786,493.0,Stimuli/8f1cabdae9b591764a369c95c9320c09.png
179,5,130.074125,130.39212500000002,30,0.30134130430147266,2.173327129108219,493.0,Stimuli/8f1cabdae9b591764a369c95c9320c09.png
180,0,131.122175,131.434175,31,-0.507387827042413,1.5496525498103877,369.0,Stimuli/f9a7b43a3e9991b7b4e0eab70d457221.png
181,1,131.472175,131.600175,31,1.3894406834119128,-0.04335472228730912,369.0,Stimuli/f9a7b43a3e9991b7b4e0eab70d457221.png
182,2,131.648175,131.737175,31,8.333611238857685,0.7108455248595604,369.0,Stimuli/f9a7b43a3e9991b7b4e0eab70d457221.png
183,3,131.784175,132.021175,31,2.0351202880234682,-0.1913787753773002,369.0,Stimuli/f9a7b43a3e9991b7b4e0eab70d457221.png
184,4,132.068175,132.278175,31,3.0597695696780747,4.823773621743115,369.0,Stimuli/f9a7b43a3e9991b7b4e0eab70d457221.png
185,5,132.324175,132.689175,31,1.6980778045610425,0.069450660818321,369.0,Stimuli/f9a7b43a3e9991b7b4e0eab70d457221.png
186,6,132.736175,132.898175,31,8.134266313599834,0.6751015980345157,369.0,Stimuli/f9a7b43a3e9991b7b4e0eab70d457221.png
187,0,133.6016,133.8976,32,1.7604477673095253,0.6277149690619798,889.0,Stimuli/460291d36108f720056b09b2a8cb9836.png
188,1,133.9406,134.0286,32,5.383814835735333,3.281080705444998,889.0,Stimuli/460291d36108f720056b09b2a8cb9836.png
189,2,134.07659999999998,134.4086,32,-2.755059688009475,0.5268312602025581,889.0,Stimuli/460291d36108f720056b09b2a8cb9836.png
190,3,134.45759999999999,134.6366,32,2.2935184106850666,-4.50889250976322,889.0,Stimuli/460291d36108f720056b09b2a8cb9836.png
191,4,134.6826,135.0966,32,-3.5076362520461615,-0.04248873153471311,889.0,Stimuli/460291d36108f720056b09b2a8cb9836.png
192,0,136.010625,136.349625,33,-2.6666878359775725,-1.787970703694661,658.0,Stimuli/c2985d30d63a5591bf4b8583f830b17f.png
193,1,136.390625,136.517625,33,-1.3738355133128197,4.532569252614221,658.0,Stimuli/c2985d30d63a5591bf4b8583f830b17f.png
194,2,136.561625,136.701625,33,-8.954516049161514,6.519592375712288,658.0,Stimuli/c2985d30d63a5591bf4b8583f830b17f.png
195,3,136.741625,137.15562500000001,33,-8.414834140782444,-0.2796001533437703,658.0,Stimuli/c2985d30d63a5591bf4b8583f830b17f.png
196,4,137.199625,137.388625,33,0.377891000659229,-4.053680577628373,658.0,Stimuli/c2985d30d63a5591bf4b8583f830b17f.png
197,5,137.437625,137.787625,33,-8.98068667536607,6.16597016599647,658.0,Stimuli/c2985d30d63a5591bf4b8583f830b17f.png
198,0,138.4598,138.7428,34,-17.696169952496934,6.835430790066895,396.0,Stimuli/c3962036b60be54e5b982430ccca87a0.png
199,0,139.81629999999998,139.98829999999998,35,-10.340147175199752,-0.6522886079533899,168.0,Stimuli/97555e4198885d4fa74d291dfc07522e.png
200,1,140.0373,140.1163,35,-2.2085551780755943,-0.5665813015501212,168.0,Stimuli/97555e4198885d4fa74d291dfc07522e.png
201,2,140.1503,140.3323,35,-0.5329536410597561,-1.253411038895042,168.0,Stimuli/97555e4198885d4fa74d291dfc07522e.png
202,3,140.3793,140.4633,35,-4.3437048924703845,3.3471501163210666,168.0,Stimuli/97555e4198885d4fa74d291dfc07522e.png
203,4,140.5083,140.7583,35,-8.71131788520559,-0.636999652172929,168.0,Stimuli/97555e4198885d4fa74d291dfc07522e.png
